iter	Passed	Remaining
480	602	649
481	602	648
482	603	646
483	604	644
484	605	643
485	606	641
486	607	639
487	608	638
488	609	636
489	610	635
490	611	633
491	612	632
492	613	630
493	614	629
494	615	627
495	616	626
496	617	624
497	618	623
498	618	621
499	619	619
500	620	618
501	621	616
502	622	615
503	623	613
504	624	612
505	625	610
506	626	609
507	627	607
508	628	605
509	629	604
510	629	602
511	630	601
512	631	599
513	632	598
514	633	596
515	634	595
516	635	593
517	636	592
518	637	590
519	638	589
520	639	587
521	640	586
522	641	584
523	642	583
524	643	581
525	643	580
526	644	578
527	645	577
528	646	575
529	647	574
530	648	572
531	649	571
532	649	569
533	651	568
534	651	566
535	652	565
536	653	563
537	654	562
538	655	560
539	656	559
540	657	557
541	658	556
542	659	554
543	660	553
544	660	551
545	661	550
546	662	548
547	663	547
548	664	545
549	665	544
550	666	542
551	667	541
552	668	540
553	669	538
554	670	537
555	671	535
556	671	534
557	672	532
558	673	531
559	674	530
560	675	528
561	676	527
562	677	525
563	678	524
564	679	522
565	679	521
566	680	519
567	681	518
568	682	517
569	683	515
570	685	514
571	685	513
572	686	511
573	687	510
574	688	509
575	689	507
576	690	506
577	691	504
578	692	503
579	693	501
580	694	500
581	695	499
582	695	497
583	696	496
584	697	494
585	698	493
586	699	492
587	700	490
588	701	489
589	702	488
590	703	486
591	704	485
592	705	483
593	705	482
594	706	481
595	707	479
596	708	478
597	709	477
598	710	475
599	711	474
600	712	472
601	713	471
602	714	470
603	715	468
604	716	467
605	717	466
606	718	465
607	719	463
608	720	462
609	721	461
610	721	459
611	722	458
612	723	456
613	724	455
614	725	454
615	726	452
616	727	451
617	728	450
618	729	448
619	730	447
620	731	446
621	732	444
622	732	443
623	733	442
624	734	440
625	735	439
626	736	438
627	737	436
628	738	435
629	739	434
630	740	432
631	740	431
632	741	430
633	743	428
634	744	427
635	744	426
636	745	425
637	746	423
638	747	422
639	748	421
640	749	419
641	750	418
642	751	417
643	752	415
644	752	414
645	753	413
646	754	411
647	755	410
648	757	409
649	758	408
650	759	407
651	760	405
652	761	404
653	762	403
654	763	402
655	764	400
656	765	399
657	766	398
658	767	396
659	767	395
660	768	394
661	769	393
662	770	391
663	771	390
664	772	389
665	774	388
666	774	386
667	775	385
668	776	384
669	777	383
670	778	381
671	779	380
672	780	379
673	781	377
674	782	376
675	783	375
676	783	374
677	784	372
678	785	371
679	786	370
680	787	369
681	788	367
682	789	366
683	790	365
684	791	363
685	792	362
686	793	361
687	793	360
688	794	358
689	795	357
690	796	356
691	797	354
692	798	353
693	799	352
694	800	351
695	801	350
696	802	348
697	803	347
698	804	346
699	805	345
700	806	344
701	807	342
702	808	341
703	809	340
704	810	339
705	811	337
706	812	336
707	813	335
708	814	334
709	814	332
710	815	331
711	816	330
712	817	329
713	818	328
714	819	326
715	820	325
716	821	324
717	822	323
718	823	321
719	824	320
720	825	319
721	825	318
722	826	316
723	827	315
724	828	314
725	829	313
726	830	311
727	831	310
728	832	309
729	833	308
730	834	307
731	835	305
732	836	304
733	836	303
734	837	302
735	838	300
736	839	299
737	840	298
738	841	297
739	842	295
740	843	294
741	843	293
742	844	292
743	845	291
744	846	289
745	847	288
746	848	287
747	849	286
748	850	285
749	851	283
750	852	282
751	853	281
752	854	280
753	855	278
754	856	277
755	856	276
756	857	275
757	858	274
758	859	272
759	860	271
760	861	270
761	862	269
762	863	268
763	864	267
764	865	265
765	866	264
766	867	263
767	868	262
768	869	261
769	870	259
770	870	258
771	871	257
772	872	256
773	873	255
774	874	253
775	875	252
776	876	251
777	877	250
778	878	249
779	879	248
780	880	246
781	881	245
782	882	244
783	883	243
784	884	242
785	885	240
786	885	239
787	886	238
788	887	237
789	888	236
790	889	235
791	890	233
792	891	232
793	892	231
794	893	230
795	894	229
796	895	228
797	896	227
798	897	225
799	898	224
800	899	223
801	900	222
802	901	221
803	902	219
804	903	218
805	904	217
806	905	216
807	906	215
808	907	214
809	908	213
810	909	211
811	910	210
812	911	209
813	911	208
814	912	207
815	913	206
816	914	204
817	915	203
818	916	202
819	917	201
820	918	200
821	919	199
822	919	197
823	921	196
824	922	195
825	923	194
826	925	193
827	926	192
828	927	191
829	928	190
830	929	189
831	930	187
832	931	186
833	932	185
834	933	184
835	934	183
836	935	182
837	937	181
838	938	180
839	939	178
840	940	177
841	941	176
842	942	175
843	943	174
844	944	173
845	945	172
846	946	170
847	947	169
848	948	168
849	949	167
850	950	166
851	951	165
852	952	164
853	953	163
854	954	161
855	955	160
856	956	159
857	957	158
858	958	157
859	959	156
860	960	155
861	961	153
862	962	152
863	963	151
864	964	150
865	966	149
866	967	148
867	968	147
868	969	146
869	970	145
870	971	143
871	972	142
872	973	141
873	974	140
874	975	139
875	975	138
876	976	137
877	978	135
878	978	134
879	979	133
880	980	132
881	981	131
882	983	130
883	984	129
884	985	127
885	985	126
886	986	125
887	987	124
888	988	123
889	989	122
890	990	121
891	991	120
892	992	118
893	993	117
894	994	116
895	994	115
896	995	114
897	996	113
898	997	112
899	998	110
900	999	109
901	1000	108
902	1001	107
903	1002	106
904	1003	105
905	1004	104
